ABF	abej.'Ef
ABM	abej.'Em
Alp	alp
And	ant
Bab	bap
Bac	bats
Bach	bax
Back	batsk
Bad	bat
Bal	bal
Balck	baltsk
Balk	balk
Baltsk	baltsk
Bamž	bams`
Barc	barts
Bart	bart
Barts	barts
Baršć	bars+ts+
Bask	bask
Bast	bast
Bats	bats
Batš	bats`
Baz	bas
Bałck	bawtsk
Bałt	bawt
Bałš	baws`
Bałž	baws`
Baš	bas`
Bašk	bas`k
Bejc	bejts
Bern	bErn
Bernd	bErnt
Bertn	bErtn;
Bez	bEs
Bezk	bEsk
Bick	bitsk
Bjarš	bjars`
Bjert	be*^Ert
Bjeńc	beJts
Bjeńš	beJs`
Blaz	blas
Bluń	bluJ
Bob	bOp
Bobr	bObr;
Bog	bOk
Bramš	brams`
Bran	bran
Brancl	brantsl;
Braš	bras`
Brecht	brExt
Brit	brit
Brjaz	br*jas
Brjazk	br*jask
Brjeńck	br*jeJtsk
Brodk	brOtk
Brol	brOl
Bronk	brONk
Broz	brOs
Brozk	brOsk
Broł	brow
Bruk	bruk
Brunk	bruNk
Bryl	br3/*+l
Brylk	br3/*+lk
Brěm	brIm
Brěmk	brImk
Brěst	brIst
Brězk	brIsk
Bujc	bujts
Buk	buk
Bukš	buks`
Bur	bur
Bušc	bus`ts
Byk	b3/*+k
Bzež	bzEs`
Bój	bej
Bójc	bejts
Bójk	bejk
Bójt	bejt
Ból	bEl
Bólc	bElts
Bóntk	bEntk
Bór	bEr
Bórch	bErx
Bórk	bErk
Bórš	bErs`
Bósk	bEsk
Bóš	bEs`
Bóž	bEs`
Bóžk	bEs`k
Běg	bIk
Běln	bIln;
Běr	bIr
Běrk	bIrk
Běs	bIs
Běsk	bIsk
Bětk	bItk
Běžk	bIs`k
Błot	bwOt
Cach	tsax
CaIk	tsaIk
Capk	tsapk
Cart	tsart
Carž	tsars`
Cech	tsEx
Celn	tsEln
Cernsk	tsErnsk
Cersk	tsErsk
Ceš	tsEs`
Cešk	tsEs`k
Chańc	xaJts
Chet	xEt
Chmjel	xme*^El
Chołmc	xowmts
Chrom	xrOm
Chud	xut
Chudk	xutk
Chwałk	xwawk
Chysk	x3/*+sk
Chót	xEt
Chółc	xEwts
Chółm	xEwm
Chółmc	xEwmts
Chóšć	xEs+ts+
Chłodk	xwOtk
Chłop	xwOp
Chłopc	xwOpts
Coch	tsOx
Cop	tsOp
Cort	tsOrt
Crjop	tsr*jOp
Cwar	tswar
Cyž	ts3/*+s`
Cyžk	ts3/*+s`k
DAX	daks
DIN	din
Dalk	dalk
Dan	dan
Darc	darts
Dańc	daJts
Dańck	daJtsk
Dańš	daJs`
Dej	dej
Dejk	dejk
Depsk	dEpsk
Derš	dErs`
Dic	dits
Dick	ditsk
Dik	dik
Diks	diks
Dnjepr	dJEpr;
Dobš	dOps`
Dolc	dOlts
Dolck	dOltsk
Domk	dOmk
Doms	dOms
Domš	dOms`
Domšk	dOms`k
Don	dOn
Donk	dONk
Dotk	dOtk
Dołg	dowk
Drjazg	dr*jask
Drjejc	drejts
Drješ	dr*jEs`
Drješk	dr*jEs`k
Drjon	dr*jOn
Drjowk	dr*jowk
Drob	drOp
Drobk	drOpk
